,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
1,3FGL J0001.2-0748,2.1493,209.1692,4.8539E-13,1.9,4.08694E-09,2.08357E-09,1.00563E-11,49.738213, bll 
2,3FGL J0001.4+2120,2.3051,217.8677,2.5221E-11,4.414,1.52391E-08,3.63964E-09,1.03554E-14,130.336334, fsrq 
3,3FGL J0004.7-4740,2.4035,932.9,2.1259E-12,1.836,1.10753E-08,3.38197E-09,4.87177E-16,112.932655, fsrq 
4,3FGL J0006.4+3825,2.6171,572.7561,6.1207E-12,2.278,2.22371E-08,3.50821E-09,7.85773E-12,80.462502, fsrq 
5,3FGL J0008.0+4713,2.021,60.8634,5.682E-13,2.514,5.73839E-09,4.43037E-09,1.29056E-10,36.713474, bll 
6,3FGL J0008.6-2340,1.5989,36.2558,5.9214E-15,0.849,4.00096E-14,4.27062E-14,7.21615E-11,47.349014, bll 
7,3FGL J0009.3+5030,1.9286,12.2673,1.0999E-12,2.137,1.92037E-08,5.87553E-09,2.51077E-10,99.436943, bll 
8,3FGL J0013.2-3954,2.2118,494.6114,5.5273E-13,0.152,6.74508E-09,1.87703E-09,5.39661E-11,55.228073, bll 
9,3FGL J0013.9-1853,1.9352,29.6284,2.9754E-14,1.626,4.82953E-14,1.09144E-10,8.06561E-12,36.458805, bll 
10,3FGL J0014.0-5025,1.9239,15.1,2.9271E-14,1.45,2.80608E-09,4.20797E-10,2.04432E-11,46.377434, bll 
11,3FGL J0016.3-0013,2.6179,1085.7144,8.4173E-12,3.412,1.91126E-08,4.53012E-09,1.17417E-11,153.07843, fsrq 
12,3FGL J0017.6-0512,2.5063,178.4389,1.743E-12,1.854,2.00434E-08,4.2242E-09,2.39997E-11,230.08577, fsrq 
13,3FGL J0018.4+2947,1.8645,33.804,1.042E-14,0.088,5.13553E-11,8.41071E-10,3.68905E-11,56.300983, bll 
14,3FGL J0018.9-8152,2.0754,87,1.3929E-13,0.31,9.4568E-09,1.94538E-09,7.2482E-11,85.652306, bll 
15,3FGL J0019.4+2021,2.2486,983.9924,1.4178E-13,0.573,6.7151E-10,1.59235E-09,1.49409E-11,55.78067, bll 
16,3FGL J0021.6-2553,2.0993,69.0158,2.7397E-13,0.174,6.15739E-09,1.24494E-09,4.21386E-11,71.567924, bll 
17,3FGL J0022.1-1855,1.799,22.5263,1.2761E-13,2.439,2.76499E-11,1.31983E-09,6.79896E-11,67.868401, bll 
18,3FGL J0022.1-5141,1.9874,20,2.2728E-13,1.715,7.82453E-10,1.50324E-09,6.77507E-11,59.411026, bll 
19,3FGL J0022.5+0608,2.0732,340.3242,1.4337E-12,2.455,1.3618E-08,5.9675E-09,1.24427E-10,95.205467, bll 
20,3FGL J0023.5+4454,2.5685,140.6026,2.4738E-12,0.258,1.53872E-08,2.21287E-09,1.03385E-11,69.712898, fsrq 
21,3FGL J0024.4+0350,2.2782,22.085,3.3553E-13,2.762,6.42561E-09,1.98052E-09,1.02397E-11,74.951202, fsrq 
22,3FGL J0029.1-7045,2.2845,260,5.0591E-13,0.614,1.25462E-08,1.68389E-09,2.65123E-11,74.494102, bll 
23,3FGL J0030.3-4223,2.5805,424.8,1.8505E-11,1.508,3.61797E-08,6.81562E-09,1.8358E-11,169.769989, fsrq 
24,3FGL J0032.3-2852,2.1895,160.7332,9.0974E-14,0.015,1.62979E-09,7.82463E-10,1.78708E-11,38.017082, bll 
25,3FGL J0033.6-1921,1.7148,18.8922,4.5918E-13,2.049,9.17181E-09,3.23344E-09,4.1857E-10,64.623909, bll 
26,3FGL J0035.2+1513,1.8064,18.8015,8.5406E-14,1.674,3.38762E-09,7.95833E-10,1.16159E-10,52.722237, bll 
27,3FGL J0037.9+1239,2.1515,75.6788,5.1624E-13,0.717,1.03684E-08,2.90105E-09,5.09524E-11,66.433662, bll 
